station_id,hour_bucket,session_count,total_kwh,total_revenue_inr,avg_duration_hours,hour,day_of_week,is_weekend
2-39-123-23,2018-07-05 04:00:00,1,0.0,0.0,0.0,4,3,0
2-39-123-23,2018-07-05 17:00:00,1,0.0,0.0,0.0,17,3,0
2-39-123-23,2018-07-06 00:00:00,1,0.0,0.0,0.0,0,4,0
2-39-123-23,2018-07-06 14:00:00,1,0.0,0.0,0.0,14,4,0
2-39-123-23,2018-07-07 01:00:00,1,0.0,0.0,0.0,1,5,1
2-39-123-23,2018-07-07 15:00:00,1,0.0,0.0,0.0,15,5,1
2-39-123-23,2018-07-08 14:00:00,1,0.0,0.0,0.0,14,6,1
2-39-123-23,2018-07-08 17:00:00,1,0.0,0.0,0.0,17,6,1
2-39-123-23,2018-07-08 21:00:00,1,0.0,0.0,0.0,21,6,1
2-39-123-23,2018-07-08 23:00:00,1,0.0,0.0,0.0,23,6,1
2-39-123-23,2018-07-09 02:00:00,1,0.0,0.0,0.0,2,0,0
2-39-123-23,2018-07-09 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-07-10 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-07-10 22:00:00,1,0.0,0.0,0.0,22,1,0
2-39-123-23,2018-07-14 23:00:00,2,0.0,0.0,0.0,23,5,1
2-39-123-23,2018-07-15 18:00:00,1,0.0,0.0,0.0,18,6,1
2-39-123-23,2018-07-15 23:00:00,1,0.0,0.0,0.0,23,6,1
2-39-123-23,2018-07-16 14:00:00,1,0.0,0.0,0.0,14,0,0
2-39-123-23,2018-07-16 23:00:00,1,0.0,0.0,0.0,23,0,0
2-39-123-23,2018-07-17 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-07-18 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-07-18 22:00:00,1,0.0,0.0,0.0,22,2,0
2-39-123-23,2018-07-19 00:00:00,1,0.0,0.0,0.0,0,3,0
2-39-123-23,2018-07-19 03:00:00,1,0.0,0.0,0.0,3,3,0
2-39-123-23,2018-07-19 14:00:00,1,0.0,0.0,0.0,14,3,0
2-39-123-23,2018-07-19 22:00:00,1,0.0,0.0,0.0,22,3,0
2-39-123-23,2018-07-20 04:00:00,1,0.0,0.0,0.0,4,4,0
2-39-123-23,2018-07-20 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-07-21 05:00:00,1,0.0,0.0,0.0,5,5,1
2-39-123-23,2018-07-21 19:00:00,1,0.0,0.0,0.0,19,5,1
2-39-123-23,2018-07-22 14:00:00,1,0.0,0.0,0.0,14,6,1
2-39-123-23,2018-07-22 16:00:00,2,0.0,0.0,0.0,16,6,1
2-39-123-23,2018-07-22 23:00:00,1,0.0,0.0,0.0,23,6,1
2-39-123-23,2018-07-23 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-07-24 01:00:00,1,0.0,0.0,0.0,1,1,0
2-39-123-23,2018-07-24 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-07-25 01:00:00,1,0.0,0.0,0.0,1,2,0
2-39-123-23,2018-07-25 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-07-25 23:00:00,1,0.0,0.0,0.0,23,2,0
2-39-123-23,2018-07-26 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-07-26 23:00:00,1,0.0,0.0,0.0,23,3,0
2-39-123-23,2018-07-27 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-07-28 00:00:00,2,0.0,0.0,0.0,0,5,1
2-39-123-23,2018-07-28 23:00:00,1,0.0,0.0,0.0,23,5,1
2-39-123-23,2018-07-30 00:00:00,1,0.0,0.0,0.0,0,0,0
2-39-123-23,2018-07-30 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-07-31 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-08-01 01:00:00,1,0.0,0.0,0.0,1,2,0
2-39-123-23,2018-08-01 04:00:00,1,0.0,0.0,0.0,4,2,0
2-39-123-23,2018-08-01 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-08-02 01:00:00,1,0.0,0.0,0.0,1,3,0
2-39-123-23,2018-08-02 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-08-02 12:00:00,1,0.0,0.0,0.0,12,3,0
2-39-123-23,2018-08-02 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-08-02 18:00:00,1,0.0,0.0,0.0,18,3,0
